Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Heating,Heating QC,Central Air,Electrical,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Total SF,Total Bathrooms,House Age,Years Since Remodel,Has Pool
2304,923400150,20,RL,63.0,10712,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,2,4,212.0,1,0.0,762.0,GasA,3,Y,SBrkr,0,974,3,1,3,5,Typ,0,0,None,1991.0,None,0.0,0.0,0,0,Y,0,28,0,0,0,0,0,MnPrv,None,0,9,2007,Oth,Abnorml,11.445727410406752,1948.0,1.0,16,15,0
2231,909475230,20,RL,70.0,18044,Pave,None,IR1,HLS,AllPub,CulDSac,Gtl,Crawfor,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,WdShing,Plywood,None,0.0,4,3,CBlock,4,3,1,1,0.0,1,0.0,279.0,GasA,4,Y,SBrkr,0,2726,2,1,4,6,Typ,1,4,Attchd,1986.0,Fin,2.0,691.0,4,4,Y,216,64,169,0,0,228,5,None,None,0,8,2007,WD ,Normal,12.660331092405906,3005.0,2.5,21,21,1
1748,528235000,80,RL,87.0,11084,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,192.0,1,0.0,192.0,GasA,5,Y,SBrkr,0,1374,3,1,4,8,Typ,1,4,BuiltIn,2004.0,Fin,2.0,400.0,3,3,Y,100,0,0,0,0,0,0,None,None,0,6,2007,WD ,Family,12.07254696717504,1758.0,3.5,3,3,0
543,531376090,20,RL,61.0,7328,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,140.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1450.0,GasA,5,Y,SBrkr,0,1450,2,1,4,6,Typ,0,0,Attchd,2008.0,RFn,3.0,788.0,3,3,Y,0,93,0,0,0,0,0,None,None,0,2,2009,New,Partial,12.320490023710256,2900.0,2.0,1,0,0
2703,904301410,30,RL,55.0,8250,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,Slab,0,0,0,0,0.0,0,0.0,0.0,GasA,3,N,SBrkr,0,1032,2,1,3,6,Typ,1,3,Detchd,1939.0,Unf,1.0,260.0,3,3,Y,0,0,121,0,0,0,0,None,None,0,6,2006,WD ,Normal,11.736077016252437,1032.0,1.0,71,56,0
2514,533223110,160,FV,,4447,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,530.0,GasA,5,Y,SBrkr,0,1080,2,1,4,4,Typ,0,0,Attchd,2003.0,RFn,2.0,496.0,3,3,Y,0,50,0,0,0,0,0,None,None,0,7,2006,WD ,Normal,11.842236406331555,1610.0,2.5,3,3,0
643,535303110,20,RL,53.0,8128,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Hip,CompShg,MetalSd,MetalSd,BrkFace,80.0,3,3,CBlock,3,3,1,5,490.0,1,0.0,572.0,GasA,4,Y,SBrkr,0,1062,3,1,3,6,Typ,0,0,Attchd,1954.0,Unf,1.0,297.0,3,3,Y,0,0,0,0,0,0,0,None,None,0,2,2009,WD ,Normal,11.782960235741939,2124.0,2.0,55,55,0
2884,911370430,120,RM,41.0,5748,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,Hip,CompShg,CemntBd,CmentBd,Stone,473.0,4,3,PConc,5,3,4,6,1573.0,1,0.0,0.0,GasA,5,Y,SBrkr,0,1778,2,1,5,5,Typ,1,4,Attchd,2005.0,Fin,2.0,495.0,3,3,Y,123,53,0,0,153,0,0,None,None,0,2,2006,New,Partial,12.834683971615659,3351.0,4.0,1,0,0
745,903232060,30,RM,51.0,6120,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,960.0,GasA,4,Y,SBrkr,0,995,2,1,3,5,Typ,0,0,Detchd,1926.0,Unf,1.0,264.0,3,3,Y,0,15,51,0,0,0,0,MnPrv,None,0,3,2009,WD ,Abnorml,11.652696102959753,1955.0,1.0,84,10,0
1264,535426260,20,RL,,10920,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,1,4,733.0,1,0.0,520.0,GasA,3,Y,SBrkr,0,1253,2,1,3,5,Typ,1,2,Attchd,1960.0,RFn,1.0,352.0,3,3,Y,0,213,176,0,0,0,0,GdWo,None,0,5,2008,WD ,Normal,11.964007453736912,2506.0,2.5,48,48,0
901,908275110,20,RL,70.0,11767,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,BrkFace,259.0,3,3,CBlock,3,3,1,3,546.0,1,0.0,604.0,GasA,5,Y,SBrkr,0,1560,2,1,3,7,Min1,1,3,Attchd,1956.0,Unf,1.0,313.0,3,3,Y,0,0,0,0,0,0,0,None,None,0,5,2009,WD ,Normal,11.547336553476635,2710.0,1.0,53,53,0
2828,908186090,180,RM,35.0,3675,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,4,6,547.0,1,0.0,0.0,GasA,4,Y,SBrkr,0,1072,2,1,3,5,Typ,0,0,Basment,2005.0,Fin,2.0,525.0,3,3,Y,0,44,0,0,0,0,0,None,None,0,10,2006,New,Partial,11.86710429621008,1619.0,2.0,1,0,0
930,909426090,50,RL,78.0,15600,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,5,7,Gable,CompShg,BrkComm,Brk Cmn,None,0.0,3,3,BrkTil,3,3,1,4,312.0,3,507.0,248.0,GasW,2,N,SBrkr,0,1523,3,1,2,7,Maj2,1,3,Attchd,1949.0,Unf,1.0,295.0,3,3,Y,0,0,81,0,0,0,0,None,None,0,10,2009,WD ,Normal,11.970356641102999,2590.0,3.0,60,4,0
868,907260030,60,RL,70.0,8749,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,840.0,GasA,5,Y,SBrkr,0,1725,3,1,4,6,Typ,0,0,Attchd,2002.0,RFn,2.0,550.0,3,3,Y,0,48,0,0,0,0,0,None,None,0,11,2009,WD ,Normal,12.198549416880068,2565.0,2.5,7,7,0
2684,903235020,30,RM,50.0,6000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,CBlock,3,3,1,2,616.0,1,0.0,0.0,GasA,4,Y,SBrkr,0,616,2,1,3,4,Typ,0,0,Detchd,1921.0,Unf,1.0,205.0,3,3,Y,0,0,129,0,0,0,0,None,None,0,6,2006,WD ,Normal,11.39640288460621,1232.0,1.0,85,56,0
2804,907290230,120,RM,37.0,4435,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,169.0,4,3,PConc,4,3,2,6,662.0,1,0.0,186.0,GasA,5,Y,SBrkr,0,848,1,1,4,3,Typ,1,4,Attchd,2004.0,RFn,2.0,420.0,3,3,Y,140,0,0,0,0,0,0,None,None,0,5,2006,WD ,Normal,11.956976469393481,1696.0,2.0,2,2,0
436,528116010,20,RL,129.0,16870,Pave,None,IR1,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,238.0,4,3,PConc,5,3,4,6,1531.0,1,0.0,251.0,GasA,5,Y,SBrkr,0,1782,3,1,4,7,Typ,2,4,Attchd,2004.0,Fin,3.0,932.0,3,3,Y,99,82,0,0,0,0,0,None,None,0,4,2009,WD ,Normal,12.598118111678868,3564.0,3.0,5,4,0
2411,528218030,20,RL,65.0,10237,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,28.0,1,0.0,1288.0,GasA,5,Y,SBrkr,0,1316,3,1,4,6,Typ,1,4,Attchd,2005.0,Fin,2.0,397.0,3,3,Y,100,0,0,23,0,0,0,None,None,0,10,2006,New,Partial,12.043500773454495,2632.0,2.0,1,0,0
238,905451320,20,RL,68.0,9571,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,3,4,739.0,1,0.0,405.0,GasA,3,Y,SBrkr,0,1144,3,1,3,6,Typ,0,0,Attchd,1956.0,Unf,1.0,596.0,3,3,Y,44,0,0,0,0,0,0,None,None,0,6,2010,WD ,Normal,11.767575435251748,2288.0,2.0,54,54,0
870,907275010,20,RL,90.0,15750,Pave,None,Reg,Lvl,AllPub,FR3,Gtl,CollgCr,Feedr,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,260.0,4,3,PConc,4,3,4,6,1246.0,1,0.0,216.0,GasA,5,Y,SBrkr,0,1513,2,1,4,5,Typ,1,3,Attchd,1999.0,Fin,2.0,521.0,3,3,Y,135,34,0,0,0,0,0,None,None,0,6,2009,WD ,Normal,12.301387370778713,2975.0,3.0,10,9,0
110,534102025,20,FV,80.0,8000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,833.0,1,0.0,659.0,GasA,5,Y,SBrkr,0,1492,3,1,4,6,Typ,1,4,Attchd,2002.0,RFn,2.0,596.0,3,3,Y,277,137,0,0,0,0,0,None,None,0,4,2010,WD ,Normal,12.345838935721968,2984.0,3.0,8,8,0
1949,535378080,50,RL,60.0,10284,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,2,5,1030.0,2,66.0,55.0,GasA,5,Y,SBrkr,0,1281,1,1,3,6,Mod,0,0,Detchd,1978.0,Unf,2.0,580.0,3,3,Y,0,0,0,0,0,0,0,None,None,0,8,2007,WD ,Abnorml,11.763691965388299,2432.0,3.0,82,14,0
164,535454070,50,RL,71.0,8520,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,4,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,2,CBlock,3,3,1,3,507.0,1,0.0,403.0,GasA,2,Y,SBrkr,0,1385,4,1,3,6,Typ,0,0,Detchd,2000.0,Unf,2.0,720.0,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,6,2010,WD ,Normal,12.019749091416921,2295.0,2.0,58,58,0
1980,902125120,30,RM,60.0,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,7,Mansard,CompShg,VinylSd,VinylSd,None,0.0,3,3,BrkTil,2,3,1,1,0.0,1,0.0,641.0,GasA,4,Y,SBrkr,0,1047,2,1,3,6,Typ,0,0,Detchd,1954.0,Unf,1.0,273.0,2,2,N,0,0,0,0,0,0,0,None,Shed,450,8,2007,WD ,Normal,11.51293546492023,1688.0,1.0,122,12,0
253,906385020,20,RL,64.0,7360,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,80.0,4,3,PConc,4,3,1,6,24.0,1,0.0,1198.0,GasA,5,Y,SBrkr,0,1222,2,1,4,6,Typ,0,0,Attchd,2009.0,RFn,2.0,615.0,3,3,Y,0,54,0,0,0,0,0,None,None,0,3,2010,WD ,Normal,12.138869243416009,2444.0,2.0,0,0,0
1863,534104090,60,FV,,7050,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,738.0,1,0.0,319.0,GasA,5,Y,SBrkr,0,1929,3,1,4,7,Typ,1,3,Attchd,2001.0,Fin,2.0,650.0,3,3,Y,0,235,0,0,0,0,0,None,None,0,5,2007,WD ,Normal,12.328294703023394,2986.0,3.5,6,6,0
1533,909276170,70,RL,74.0,11988,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,6,7,Hip,CompShg,Stucco,Stucco,None,0.0,3,3,CBlock,3,3,1,2,326.0,1,0.0,389.0,GasA,2,Y,FuseA,0,1660,3,1,3,6,Typ,1,4,Detchd,1939.0,Unf,1.0,240.0,3,3,Y,0,0,0,0,0,0,0,None,None,0,8,2008,WD ,Normal,12.147919030759663,2375.0,1.5,74,13,0
2505,533206040,120,FV,34.0,3628,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1143.0,GasA,5,Y,SBrkr,0,1143,1,1,4,5,Typ,1,4,Attchd,2004.0,RFn,2.0,588.0,3,3,Y,0,191,0,0,0,0,0,None,None,0,5,2006,WD ,Normal,12.080515091473,2286.0,1.5,2,2,0
790,905451300,20,RL,68.0,9571,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,3,257.0,1,0.0,816.0,GasA,3,Y,FuseA,0,1073,2,1,3,5,Typ,0,0,Attchd,1956.0,Unf,1.0,340.0,3,3,Y,0,0,0,0,0,0,0,GdPrv,None,0,2,2009,WD ,Normal,11.707677772181546,2146.0,2.0,53,53,0
1179,533250050,120,RL,38.0,14963,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,BrkFace,BrkFace,None,0.0,4,3,PConc,4,3,1,6,786.0,1,0.0,474.0,GasA,5,Y,SBrkr,0,1288,1,1,5,4,Typ,2,4,Attchd,1996.0,Fin,2.0,500.0,3,3,Y,120,30,0,0,224,0,0,None,None,0,12,2008,WD ,Normal,12.411056299528171,2548.0,2.5,12,12,0
1430,906475100,20,RL,,11500,Pave,None,IR1,Bnk,AllPub,CulDSac,Gtl,ClearCr,Norm,Norm,1Fam,1Story,6,6,Flat,Tar&Grv,Plywood,Plywood,None,0.0,3,3,CBlock,4,4,4,2,262.0,5,723.0,197.0,GasA,5,Y,SBrkr,0,1643,2,1,3,6,Typ,1,4,Attchd,1966.0,Unf,2.0,438.0,3,3,Y,339,0,0,0,0,0,0,None,None,0,3,2008,WD ,Normal,12.180759965737863,2825.0,3.0,42,42,0
2277,921205070,60,RL,88.0,12665,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,245.0,4,3,PConc,4,4,4,1,0.0,1,0.0,1094.0,GasA,5,Y,SBrkr,0,2482,4,1,4,9,Typ,1,4,BuiltIn,2005.0,Fin,3.0,642.0,3,3,Y,144,39,0,0,0,0,0,None,None,0,2,2007,WD ,Normal,12.546871224308068,3576.0,2.5,2,1,0
2927,923276100,20,RL,,8885,Pave,None,IR1,Low,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,3,4,301.0,5,324.0,239.0,GasA,3,Y,SBrkr,0,902,2,1,3,5,Typ,0,0,Attchd,1983.0,Unf,2.0,484.0,3,3,Y,164,0,0,0,0,0,0,MnPrv,None,0,6,2006,WD ,Normal,11.782960235741939,1766.0,2.0,23,23,0
1737,528222040,20,RL,73.0,8899,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24.0,1,0.0,1316.0,GasA,5,Y,SBrkr,0,1340,3,1,4,6,Typ,0,0,Attchd,2007.0,Fin,2.0,396.0,3,3,Y,100,30,0,0,0,0,0,None,None,0,8,2007,New,Partial,12.106997888588934,2680.0,2.0,0,0,0
1079,528188150,160,RL,36.0,2448,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4,3,1,6,573.0,1,0.0,191.0,GasA,5,Y,SBrkr,0,1626,2,1,4,6,Typ,0,0,BuiltIn,2003.0,RFn,2.0,474.0,3,3,Y,0,27,0,0,0,0,0,None,None,0,10,2008,WD ,Normal,11.944714374881176,2390.0,3.5,5,4,0
1379,905103030,80,RL,80.0,13014,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,5,Gable,CompShg,HdBoard,Plywood,BrkFace,39.0,3,3,CBlock,3,3,3,5,528.0,1,0.0,480.0,GasA,3,Y,SBrkr,0,1096,3,1,3,6,Typ,1,2,Attchd,1978.0,Unf,2.0,484.0,3,3,Y,168,0,0,0,0,0,0,None,None,0,12,2008,WD ,Normal,11.967187086434018,2104.0,2.0,30,30,0
719,902329080,70,RM,60.0,3600,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,7,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,624.0,GasA,5,Y,SBrkr,0,1288,3,1,5,5,Typ,1,4,Attchd,1917.0,Unf,1.0,280.0,3,3,N,0,103,0,0,0,0,0,None,None,0,5,2009,WD ,Normal,11.686887175419702,1912.0,2.0,92,2,0
2851,909250120,70,RL,96.0,13132,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,4,3,2,1,0.0,1,0.0,747.0,GasA,4,Y,FuseF,0,1784,4,1,3,9,Typ,0,0,Detchd,1914.0,Unf,1.0,180.0,2,2,N,203,40,0,0,0,0,0,None,None,0,7,2006,WD ,Normal,11.841423131921784,2531.0,1.5,92,56,0
462,528186180,120,RL,48.0,6240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,176.0,4,3,PConc,4,3,1,6,863.0,1,0.0,461.0,GasA,5,Y,SBrkr,0,1324,2,1,4,6,Typ,1,4,Attchd,2006.0,Fin,2.0,550.0,3,3,Y,192,38,0,0,0,0,0,None,None,0,12,2009,WD ,Normal,12.445093483000798,2648.0,3.0,3,3,0
2868,909425120,20,RL,90.0,14115,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Stone,Stone,None,0.0,3,3,PConc,3,3,1,5,296.0,6,547.0,230.0,GasA,5,Y,SBrkr,0,1811,2,1,5,6,Typ,1,4,Attchd,1956.0,Fin,2.0,470.0,3,3,Y,0,0,280,0,0,0,0,None,None,0,7,2006,WD ,Abnorml,12.345838935721968,2884.0,1.0,50,2,0
